course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
芝1600m (右 外),6,140,55.0,,ミッキーグローリー,10,ルメール,3.3,1,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,1,15.0,牡5,(美浦)国枝,330,1:32.4,550(+8)
芝1600m (右 外),8,180,53.0,3/4,ワントゥワン,14,戸崎圭,6.4,3,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,2,15.0,牝5,(栗東)藤岡,0,1:32.5,446(-4)
芝1600m (右 外),2,130,56.5,3/4,ロジクライ,2,浜中,3.3,2,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,3,15.0,牡5,(栗東)須貝,0,1:32.6,512(-4)
芝1600m (右 外),3,0,56.5,ハナ,ロードクエスト,5,三浦,14.4,5,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,4,15.0,牡5,(美浦)小島,0,1:32.6,460(0)
芝1600m (右 外),7,0,54.0,アタマ,ゴールドサーベラス,13,柴山,19.7,8,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,5,15.0,牡6,(美浦)清水英,0,1:32.6,448(+4)
芝1600m (右 外),3,0,55.0,3/4,トウショウドラフタ,4,北村宏,154.5,14,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,6,15.0,牡5,(美浦)萱野,0,1:32.7,478(+8)
芝1600m (右 外),6,0,54.0,クビ,ストーミーシー,11,大野,25.0,10,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,7,15.0,牡5,(美浦)斎藤誠,0,1:32.8,528(+8)
芝1600m (右 外),5,0,57.0,ハナ,ヤングマンパワー,9,石橋脩,17.6,7,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,8,15.0,牡6,(美浦)手塚,0,1:32.8,530(-8)
芝1600m (右 外),4,0,56.5,1/2,ヒーズインラブ,7,藤岡康,8.3,4,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,9,15.0,牡5,(栗東)藤岡,0,1:32.9,532(+8)
芝1600m (右 外),7,0,57.0,1,ウインガニオン,12,津村,42.0,11,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,10,15.0,牡6,(栗東)西園,0,1:33.1,492(0)
芝1600m (右 外),2,0,54.0,ハナ,トーセンデューク,3,勝浦,116.9,12,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,11,15.0,牡7,(美浦)杉浦,0,1:33.1,454(-2)
芝1600m (右 外),5,0,55.0,ハナ,ダイワリベラル,8,菊沢,330.4,15,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,12,15.0,牡7,(美浦)菊沢,0,1:33.1,520(-6)
芝1600m (右 外),1,0,56.0,2,ミュゼエイリアン,1,石川,137.3,13,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,13,15.0,セ6,(美浦)黒岩,0,1:33.4,478(+4)
芝1600m (右 外),8,0,56.0,ハナ,ベステンダンク,15,鮫島駿,17.4,6,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,14,15.0,牡6,(栗東)安達,0,1:33.4,506(-2)
芝1600m (右 外),4,0,56.0,3.1/2,ショウナンアンセム,6,池添,20.1,9,4回中山2日目 ３歳上 サラ３歳上オープン,天気：晴 / 馬場：良 / 発走：15:45,2018/09/09(日),京成杯ＡＨ ,11,15,15.0,牡5,(美浦)田中剛,0,1:34.0,484(0)
ダ1200m (右),5,230,55.0,,モアニケアラ,8,横山典,7.9,3,4回中山2日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2018/09/09(日),３歳上１０００万下,12,1,15.0,牝6,(栗東)松永幹,790,1:11.5,466(-6)
ダ1200m (右),6,150,57.0,1/2,アグネスエーデル,10,戸崎圭,2.9,1,4回中山2日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2018/09/09(日),３歳上１０００万下,12,2,15.0,牡6,(栗東)小崎,0,1:11.6,512(-8)
